sku_id,week_start,units_sold,revenue,avg_price,promo_days,holiday_days,category,subcategory,unit_cost,list_price,launch_date,promo_flag
SKU0001,2024-07-01,78,602911.14,7729.63,0,0,Small Appliances,Climate,3455.6,7729.63,2024-07-04,0
SKU0001,2024-07-08,66,510155.58,7729.63,0,0,Small Appliances,Climate,3455.6,7729.63,2024-07-04,0
SKU0001,2024-07-15,141,1089877.83,7729.63,0,0,Small Appliances,Climate,3455.6,7729.63,2024-07-04,0
SKU0001,2024-07-22,140,1082148.2,7729.63,0,0,Small Appliances,Climate,3455.6,7729.63,2024-07-04,0
SKU0001,2024-07-29,168,1298577.84,7729.63,0,0,Small Appliances,Climate,3455.6,7729.63,2024-07-04,0
SKU0001,2024-08-05,195,1507277.85,7729.63,0,0,Small Appliances,Climate,3455.6,7729.63,2024-07-04,0
SKU0001,2024-08-12,176,1360414.88,7729.63,0,1,Small Appliances,Climate,3455.6,7729.63,2024-07-04,0
SKU0001,2024-08-19,156,1205822.28,7729.63,0,0,Small Appliances,Climate,3455.6,7729.63,2024-07-04,0
SKU0001,2024-08-26,145,1120796.35,7729.63,0,0,Small Appliances,Climate,3455.6,7729.63,2024-07-04,0
SKU0001,2024-09-02,200,1545926.0,7729.63,0,0,Small Appliances,Climate,3455.6,7729.63,2024-07-04,0
SKU0001,2024-09-09,166,1283118.58,7729.63,0,0,Small Appliances,Climate,3455.6,7729.63,2024-07-04,0
SKU0001,2024-09-16,186,1437711.18,7729.63,0,0,Small Appliances,Climate,3455.6,7729.63,2024-07-04,0
SKU0001,2024-09-23,130,1004851.9,7729.63,0,0,Small Appliances,Climate,3455.6,7729.63,2024-07-04,0
SKU0001,2024-09-30,96,742044.48,7729.63,0,1,Small Appliances,Climate,3455.6,7729.63,2024-07-04,0
SKU0001,2024-10-07,151,1167174.13,7729.63,0,0,Small Appliances,Climate,3455.6,7729.63,2024-07-04,0
SKU0001,2024-10-14,164,1267659.32,7729.63,0,0,Small Appliances,Climate,3455.6,7729.63,2024-07-04,0
SKU0001,2024-10-21,133,1028040.79,7729.63,0,0,Small Appliances,Climate,3455.6,7729.63,2024-07-04,0
SKU0001,2024-10-28,150,1159444.5,7729.63,0,0,Small Appliances,Climate,3455.6,7729.63,2024-07-04,0
SKU0001,2024-11-04,149,1076750.3399999999,7364.542857142857,3,0,Small Appliances,Climate,3455.6,7729.63,2024-07-04,1
SKU0001,2024-11-11,214,1483766.8699999999,7121.151428571428,5,0,Small Appliances,Climate,3455.6,7729.63,2024-07-04,1
SKU0001,2024-11-18,78,602911.14,7729.63,0,0,Small Appliances,Climate,3455.6,7729.63,2024-07-04,0
SKU0001,2024-11-25,130,1004851.9,7729.63,0,0,Small Appliances,Climate,3455.6,7729.63,2024-07-04,0
SKU0001,2024-12-02,120,927555.6,7729.63,0,0,Small Appliances,Climate,3455.6,7729.63,2024-07-04,0
SKU0001,2024-12-09,121,935285.23,7729.63,0,0,Small Appliances,Climate,3455.6,7729.63,2024-07-04,0
SKU0001,2024-12-16,165,1186794.5,7364.542857142857,3,0,Small Appliances,Climate,3455.6,7729.63,2024-07-04,1
SKU0001,2024-12-23,228,1568129.3399999999,6877.76,7,1,Small Appliances,Climate,3455.6,7729.63,2024-07-04,1
